id,text,braille_brf
lu_0707,reverberate,rev}b}ate
lu_0708,revere,rev}e
lu_0709,reverify,rev}ify
lu_0710,severity,sev};y
lu_0711,thievery,?iev}y
lu_0712,adhere,"ad""h"
lu_0713,atmosphere,"atmosp""h"
lu_0714,cohere,"co""h"
lu_0715,hereabout,"""hab"
lu_0716,herewith,"""h)"
lu_0717,sphere,"sp""h"
lu_0718,filename,"file""n"
lu_0719,nameable,"""nable"
lu_0720,renamed,"re""nd"
lu_0721,surname,"sur""n"
lu_0722,adhered,adh}$
lu_0723,bothered,bo!r$
lu_0724,coherence,coh};e
lu_0725,elsewhere,"else"":"
lu_0726,ethereal,e!r1l
lu_0727,heredity,h}$;y
lu_0728,Hereford (City),",h}e=d ""<,c;y"">"
lu_0729,enamel,5amel
lu_0730,ornament,orna;t
lu_0731,unamended,unam5d$
lu_0732,Vietnamese,",vietnamese"
lu_0733,acetone,"acet""o"
lu_0734,atonement,"at""o;t"
lu_0735,baloney,"bal""oy"
lu_0736,bygone,"byg""o"
lu_0737,cone,"c""o"
lu_0738,demonetise,"dem""otise"
lu_0739,dishonesty,"4h""o/y"
lu_0740,done,"d""o"
lu_0741,everyone,"""ey""o"
lu_0742,honey,"h""oy"
lu_0743,Jones,",j""os"
lu_0744,lonesome,"l""o""s"
lu_0745,Mulroney,",mulr""oy"
lu_0746,one-sided,"""o-sid$"
lu_0747,oneness,"""o;s"
lu_0748,phone,"ph""o"
lu_0749,scone,"sc""o"
lu_0750,stonework,"/""o""w"
lu_0751,stoney,"/""oy"
lu_0752,anemone,anemone
lu_0753,baroness,b>o;s
lu_0754,baronet,b>onet
lu_0755,Boone,",boone"
lu_0756,Cantonese,",cantonese"
lu_0757,colonel,colonel
lu_0758,Conestoga,",3e/oga"
lu_0759,crooner,croon}
lu_0760,cushioned,cu%ion$
lu_0761,Donegal,",donegal"
lu_0762,erroneous,}rone|s
lu_0763,Hermione,",h}mione"
lu_0764,Indonesia,",9donesia"
lu_0765,krone,krone
lu_0766,Monet,",monet"
lu_0767,onerous,on}|s
lu_0768,phonetic,phonetic
lu_0769,pioneer,pione}
lu_0770,poisoned,poison$
lu_0771,Rhône,",rh~%one"
lu_0772,Rooney,",rooney"
lu_0773,sooner,soon}
lu_0774,stoned,/on$
lu_0775,blithesome,"bli!""s"
lu_0776,chromosome,"*romo""s"
lu_0777,fearsome,"fe>""s"
lu_0778,handsome,"h&""s"
lu_0779,handsomer,"h&""sr"
lu_0780,lonesomest,"l""o""s/"
lu_0781,somebody,"""sbody"
lu_0782,somesuch,"""ss*"
lu_0783,somewhere,"""s"":"
lu_0784,twosome,"two""s"
lu_0785,blossomed (blossom),"blossom$ ""<blossom"">"
lu_0786,gasometer,gasomet}
lu_0787,isometric,isometric
lu_0788,ransomed (ransom),"ransom$ ""<ransom"">"
lu_0789,somersault,som}sault
lu_0790,Somerset,",som}set"
lu_0791,daytime,"""d""t"
lu_0792,maritime,"m>i""t"
lu_0793,mistimed,"mis""td"
lu_0794,pastime,"pas""t"
lu_0795,sometimes,"""s""ts"
lu_0796,springtime,"spr+""t"
lu_0797,timeously,"""t|sly"
lu_0798,Timex,",""tx"
lu_0799,untimely,"un""tly"
lu_0800,altimeter,altimet}
lu_0801,centime,c5time
lu_0802,centimeter,c5timet}
lu_0803,Mortimer,",mortim}"
lu_0804,multimedia,multim$ia
lu_0805,sentiment,s5ti;t
lu_0806,blunder,"bl""u"
lu_0807,misunderstand,"mis""u/&"
lu_0808,thundered,"?""u$"
lu_0809,undergo,"""ugo"
lu_0810,underpaid,"""upd"
lu_0811,Wunderhorn,",w""uhorn"
lu_0812,flounder,fl.d}
lu_0813,laundering,laund}+
lu_0814,Saunders,",saund}s"
lu_0815,underived,und}iv$
lu_0816,underogatory,und}ogatory
lu_0817,amount,am.t
lu_0818,baroness,b>o;s
lu_0819,bastion,bas;n
lu_0820,blessing,b.s+
lu_0821,business,busi;s
lu_0822,cancel,c.el
lu_0823,carefully,c>e;lly
lu_0824,cement,ce;t
lu_0825,cheerful,*e};l
lu_0826,chockfull,*ock;ll
lu_0827,circuity,circu;y
lu_0828,commencement,comm;e;t
lu_0829,comment,com;t
lu_0830,confusion,3fu.n
lu_0831,country,c.try
lu_0832,county,c.ty
lu_0833,creation,cr1;n
lu_0834,dancer,d.er
lu_0835,deity,de;y
lu_0836,Du Plessis,",du ,p.sis"
lu_0837,experienced,exp}i;ed
lu_0838,expressionless,expres.n.s
lu_0839,extramental,extra;tal
lu_0840,fences,f;es
lu_0841,finesse,fi;se
lu_0842,found,f.d
lu_0843,fractional,frac;nal
lu_0844,Frances,",fr.es"
lu_0845,governess,gov};s
lu_0846,Guinness,",gu9;s"
lu_0847,incongruous,9c;gru|s
lu_0848,influenceable,9flu;eable
lu_0849,lioness,lio;s
lu_0850,longevity,l;gev;y
lu_0851,memento,me;to
lu_0852,mongoose,m;goose
lu_0853,mountain,m.ta9
lu_0854,noblesse,nob.se
lu_0855,persuasion,p}sua.n
lu_0856,pity,p;y
lu_0857,pongee,p;gee
lu_0858,prong,pr;g
lu_0859,rationally,ra;nally
lu_0860,rotation,rota;n
lu_0861,Rountree,",r.tree"
lu_0862,séance,s~/e.e
lu_0863,silenced,sil;ed
lu_0864,sinfulness,s9;l;s
lu_0865,Spencer,",sp;er"
lu_0866,sponge,sp;ge
lu_0867,sound,s.d
lu_0868,sublessee,sub.see
lu_0869,Tennessee,",t5;see"
lu_0870,thence,?;e
lu_0871,tongue,t;gue
lu_0872,unfulfilled,un;lfill$
lu_0873,unless,un.s
lu_0874,unlessoned,un.son$
lu_0875,Wenceslaus,",w;eslaus"
lu_0876,wounded,w.d$
lu_0877,ancestor,ance/or
lu_0878,channel-less,*annel-less
lu_0879,congruous,3gru|s
lu_0880,electroencephalogram,electro5cephalogram
lu_0881,encephalitis,5cephalitis
lu_0882,fiancé,fianc~/e
lu_0883,inessential,9ess5tial
lu_0884,lessee,lessee
lu_0885,moongod,moongod
lu_0886,nongaseous,nongase|s
lu_0887,one-ness,"""o-ness"
lu_0888,'ound,'|nd
lu_0889,pityard,pity>d
lu_0890,AttenTION!,",att5,,tion6"
lu_0891,AWful,",,aw,'ful"
lu_0892,ExperiMental,",exp}i,m5tal"
lu_0893,MyAncestor,",my,ance/or"
lu_0894,around,>.d
lu_0895,ARound,",,>,'|nd"
lu_0896,AROUND,",,>.d"
lu_0897,WE GO AROUND,",,,we g >.d,'"
lu_0898,WE GO ARound,",,we ,,g ,,>,'|nd"
lu_0899,WE GO AROund,",,we ,,g ,,>o,'und"
lu_0900,dAnce,"d,ance"
lu_0901,PASSion,",,pass,'ion"
lu_0902,PayLESS,",pay,,less"
lu_0903,PaylESS,",payl,,ess"
lu_0904,MOunt,",,mo,'unt"
lu_0905,OffEnce,",(f,5ce"
lu_0906,AlOnG,",al,on,g"
lu_0907,Nesscafe,",nesscafe"
lu_0908,RefIty,",ref,ity"
lu_0909,getFullName,"get,full,""n"
lu_0910,chieftainess,*iefta9ess
lu_0911,citizeness,citiz5ess
lu_0912,heatheness,h1!ness
lu_0913,You should receive your letter tomorrow afternoon.,",y %d rcv yr lr tm afn4"
lu_0914,an about-face from the quick-witted go-between,an ab-face f ! qk-witt$ g-2t
lu_0915,"""Good-bye, Miss Little-Smythe!""","8,gd-bye1 ,miss ,ll-,smy!60"
lu_0916,(braille–first writing system for blind people),"""<brl,-f/ writ+ sy/em = bl p"">"
lu_0917,to-night,to-ni<t
lu_0918,above/below,above_/bel{
lu_0919,PRINT/BRAILLE,",,pr9t_/,,braille"
lu_0920,friend@rogers.com,fri5d`arog}s4com
lu_0921,www.living.beyond.myself.org,www4liv+4beyond4myself4org
lu_0922,aboveground,abvgr.d
lu_0923,belowdecks,2ldecks
lu_0924,Friendly Islands,",frly ,isl&s"
lu_0925,godchildren,god*n
lu_0926,goodafternoon,gdafn
lu_0927,hereabouts,"""habs"
lu_0928,lettermen,lrm5
lu_0929,Quicker Delivery,",qk} ,deliv}y"
lu_0930,repaid,repd
lu_0931,suchlike,s*like
lu_0932,Our boyfriends mustn't miss tomorrow's afterdinner speaker!,",|r boyfrs m/n't miss tm's afd9n} sp1k}6"
lu_0933,Mr Letterman could've quickly rebrailled the Aftercare Newsletter.,",mr ,lrman cd've qkly rebrld ! ,afc>e ,newslr4"
lu_0934,I am brailling the newsletters' headlines.,",i am braill+ ! newslrs' h1dl9es4"
lu_0935,friend(s),"fri5d""<s"">"
lu_0936,print/braille,pr9t_/braille
lu_0937,www.afterschool.gov,www4aft}s*ool4gov
lu_0938,aftereffect,aft}e6ect
lu_0939,afterimage,aft}image
lu_0940,blinded,bl9d$
lu_0941,blinding,bl9d+
lu_0942,befriended,2fri5d$
lu_0943,friendy,fri5dy
lu_0944,abouts,ab|ts
lu_0945,acrosses,acrosses
lu_0946,againe,aga9e
lu_0947,almosts,almo/s
lu_0948,hims,hims
lu_0949,hereinbefore,"""h9be=e"
lu_0950,hereinbelow,"""h9bel{"
lu_0951,inbetween,9betwe5
lu_0952,misconceived,misconceiv$
lu_0953,"""couldx""",8c|ldx0
lu_0954,Himalayas,",himalayas"
lu_0955,Suchet,",su*et"
lu_0956,Yourcenar,",y|rc5>"
lu_0957,Braillette board,",brltte bo>d"
lu_0958,"Marcillat-en-Combraille, France",",m>cillat-en-,combrl1 ,fr.e"
lu_0959,Greatford Hall,",grt=d ,hall"
lu_0960,greatgreatgreatgrandchildren,grtgrtgrtgr&*n
lu_0961,Greatorex,",grtorex"
lu_0962,Blindcraft,",blcraft"
lu_0963,Blindheim,",blheim"
lu_0964,Firstbank,",f/bank"
lu_0965,Firstchoice,",f/*oice"
lu_0966,"""goodz""",8gdz0
lu_0967,Mr Feelgreat from Goodge Street,",mr ,feelgrt f ,gdge ,/reet"
lu_0968,Ms Letterkenny's Littleport home.,",ms ,lrk5ny's ,llport home4"
lu_0969,"Quicksburg, Virginia",",qksburg1 ,virg9ia"
lu_0970,Blindoc,",bl9doc"
lu_0971,www.braillex.com,www4braillex4com
lu_0972,Firstamerica,",fir/am}ica"
lu_0973,Goodacre,",goodacre"
lu_0974,Littlearm,",little>m"
lu_0975,Letterewe Estate,",lett}ewe ,e/ate"
lu_0976,Mr Linkletter of Portlittle,",mr ,l9klett} ( ,portlittle"
lu_0977,Bisquick Pancake Mix,",bisquick ,pancake ,mix"
lu_0978,Ted Makegood of Goodena,",t$ ,makegood ( ,good5a"
lu_0979,Herf gun,",herf gun"
lu_0980,"""mst"" files",8mst0 files
lu_0981,www.sch.edu.au,www4s*4$u4au
lu_0982,ab initio,;ab 9itio
lu_0983,et al–,"et ;al,-"
lu_0984,Al-Azar,";,al-,az>"
lu_0985,Alt.: 3000 ft.,";,alt43 #cjjj ft4"
lu_0986,"""Hm, would Al like this CD?""","8;,hm1 wd ;,al l ? ;,,cd80"
lu_0987,Grtsamada,";,grtsamada"
lu_0988,BLCUP,";,,blcup"
lu_0989,"spelled ""ei"" or ""ie""?",spell$ 8;ei0 or 8ie08
lu_0990,gd lnch. TM sd yu shd meet me b4 yr mtg 2 read lr. wl b qk. l8r.,";gd ln*4 ;,,tm ;sd yu shd meet me b#d ;yr mtg #b r1d ;lr4 wl ;b ;qk4 l#hr4"
lu_0991,advanced,adv.ed
lu_0992,aright,"a""r"
lu_0993,bastion,bas;n
lu_0994,coherence,coh};e
lu_0995,Congo,",3go"
lu_0996,congratulate,3gratulate
lu_0997,congruity,3gru;y
lu_0998,dancer,d.er
lu_0999,dispirited,di_s$
lu_1000,distinct,4t9ct
lu_1001,disturbed,4turb$
lu_1002,happiness,happi;s
lu_1003,meander,me&}
lu_1004,named,"""nd"
lu_1005,oneness,"""o;s"
lu_1006,thence,?;e
lu_1007,timer,"""tr"
lu_1008,vengeance,v5ge.e
lu_1009,wither,)}
lu_1010,afford,af=d
lu_1011,bathed,ba!d
lu_1012,calisthenics,calis!nics
lu_1013,coffee,c(fee
lu_1014,effort,ef=t
lu_1015,gathered,ga!r$
lu_1016,Leander,",le&}"
lu_1017,offer,(f}
lu_1018,office,(fice
lu_1019,other,o!r
lu_1020,Parthenon,",p>!non"
lu_1021,proffer,pr(f}
lu_1022,slithered,sli!r$
lu_1023,theatre,!atre
lu_1024,then,!n
lu_1025,weathered,w1!r$
lu_1026,thence,?;e
lu_1027,beatitude,2atitude
lu_1028,Beatrix,",2atrix"
lu_1029,bedraggled,2dra7l$
lu_1030,benevolence,2nevol;e
lu_1031,benighted,2ni<t$
lu_1032,benign,2nign
lu_1033,berated,2rat$
lu_1034,congee,3gee
lu_1035,congenial,3g5ial
lu_1036,dishonesty,"4h""o/y"
lu_1037,distance,4t.e
lu_1038,beach,b1*
lu_1039,beautiful,b1uti;l
lu_1040,benefit,b5efit
lu_1041,benzene,b5z5e
lu_1042,berth,b}?
lu_1043,dish,di%
lu_1044,dishevelled,di%evell$
lu_1045,bacchanal,bac*anal
lu_1046,bear,be>
lu_1047,fear,fe>
lu_1048,heart,he>t
lu_1049,nearly,ne>ly
lu_1050,nuclear,nucle>
lu_1051,saccharine,sac*>9e
lu_1052,sting,/+
lu_1053,egghead,e7h1d
lu_1054,Clemenceau,",clem;eau"
lu_1055,commenced,comm;ed
lu_1056,experienced,exp}i;ed
lu_1057,influenceable,9flu;eable
lu_1058,silenceable,sil;eable
lu_1059,silencer,sil;er
lu_1060,Spencer,",sp;er"
lu_1061,adhered,adh}$
lu_1062,adherent,adh}5t
lu_1063,adherer,adh}}
lu_1064,cohered,coh}$
lu_1065,component,compon5t
lu_1066,effulgent,e6ulg5t
lu_1067,heredity,h}$;y
lu_1068,onerous,on}|s
lu_1069,opponent,oppon5t
lu_1070,Parthian,",p>?ian"
lu_1071,poisoned,poison$
lu_1072,prisoner,prison}
lu_1073,shadow,%ad{
lu_1074,sooner,soon}
lu_1075,stoned,/on$
lu_1076,telephoned,telephon$
lu_1077,Thaddeus,",?addeus"
lu_1078,toner,ton}
lu_1079,advanced,adv.ed
lu_1080,apartheid,"a""pheid"
lu_1081,asthma,as?ma
lu_1082,dishevelled,di%evell$
lu_1083,gingham,g+ham
lu_1084,hypotheses,hypo!ses
lu_1085,isthmus,is?mus
lu_1086,posthumous,po/hum|s
lu_1087,stronghold,/r;ghold
lu_1088,towhee,t{hee
lu_1089,where'er,:}e'}
lu_1090,whereas,""":as"
lu_1091,wherever,":}""e"
lu_1092,chemotherapy,*emo!rapy
lu_1093,chlordane,*lordane
lu_1094,whaddaya,:addaya
lu_1095,enough–bein',"5,-2in'"
lu_1096,in.....,in44444
lu_1097,IN MY HOUSE,",,,9 my h|se,'"
lu_1098,Airedale,",airedale"
lu_1099,Bighorn,",bighorn"
lu_1100,blowhard,bl{h>d
lu_1101,bottleneck,bottleneck
lu_1102,carthorse,c>thorse
lu_1103,cowherd,c{h}d
lu_1104,dumbbell,dumbbell
lu_1105,egghead,e7h1d
lu_1106,fathead,fath1d
lu_1107,flearidden,fl1ridd5
lu_1108,grasshopper,grasshopp}
lu_1109,hideaway,hideaway
lu_1110,indiarubber,9diaru2}
lu_1111,insofar,9sof>
lu_1112,Jamestown,",jamest{n"
lu_1113,kettledrum,kettledrum
lu_1114,longhand,l;gh&
lu_1115,northeast,nor?1/
lu_1116,painstaking,pa9stak+
lu_1117,photoflash,photofla%
lu_1118,pineapple,p9eapple
lu_1119,rawhide,rawhide
lu_1120,Southend,",s|?5d"
lu_1121,stateroom,/ateroom
lu_1122,storeroom,/oreroom
lu_1123,stronghold,/r;ghold
lu_1124,sweetheart,sweethe>t
lu_1125,tearoom,t1room
lu_1126,toenail,toenail
lu_1127,wiseacre,wiseacre
lu_1128,Cunnyngham,",cunnyngham"
lu_1129,knighthood,kni<thood
lu_1130,mishandle,mish&le
lu_1131,mishap,mishap
lu_1132,mishear,mishe>
lu_1133,Newhaven,",newhav5"
lu_1134,shanghaied,%anghai$
lu_1135,Sontheim,",sontheim"
lu_1136,stronghold,/r;ghold
lu_1137,Brigham,",bri<am"
lu_1138,Chatham,",*a?am"
lu_1139,Higham,",hi<am"
lu_1140,bedazzle,2dazzle
lu_1141,bedevil,2devil
lu_1142,benighted,2ni<t$
lu_1143,benumb,2numb
lu_1144,berate,2rate
lu_1145,bereave,2r1ve
lu_1146,congeal,3g1l
lu_1147,congruent,3gru5t
lu_1148,disharmony,4h>mony
lu_1149,dishonest,"4h""o/"
lu_1150,preamplifier,preamplifi}
lu_1151,readjust,readju/
lu_1152,reappoint,reappo9t
lu_1153,reassure,reassure
lu_1154,abbreviate,a2reviate
lu_1155,accent,a35t
lu_1156,affect,a6ect
lu_1157,aggressive,a7ressive
lu_1158,aqueduct,aqu$uct
lu_1159,arise,>ise
lu_1160,Benedict,",b5$ict"
lu_1161,deduce,d$uce
lu_1162,denominate,d5om9ate
lu_1163,denote,d5ote
lu_1164,denouement,d5|e;t
lu_1165,denounce,d5|nce
lu_1166,derail,d}ail
lu_1167,deregister,d}egi/}
lu_1168,derivable,d}ivable
lu_1169,derogatory,d}ogatory
lu_1170,edacious,$aci|s
lu_1171,edict,$ict
lu_1172,edition,$i;n
lu_1173,educe,$uce
lu_1174,effaceable,e6ac1ble
lu_1175,effect,e6ect
lu_1176,enormous,5orm|s
lu_1177,enounce,5|nce
lu_1178,enumerate,5um}ate
lu_1179,erase,}ase
lu_1180,erosion,}o.n
lu_1181,froward,fr{>d
lu_1182,irredentist,irr$5ti/
lu_1183,malediction,mal$ic;n
lu_1184,mistake,mi/ake
lu_1185,mistrust,mi/ru/
lu_1186,multinomial,mult9omial
lu_1187,pandemonium,p&emonium
lu_1188,perinatal,p}9atal
lu_1189,predate,pr$ate
lu_1190,predecease,pr$ec1se
lu_1191,predecessor,pr$ecessor
lu_1192,predestine,pr$e/9e
lu_1193,predicament,pr$ica;t
lu_1194,prediction,pr$ic;n
lu_1195,predominate,pr$om9ate
lu_1196,prerequisite,pr}equisite
lu_1197,prerogative,pr}ogative
lu_1198,profanity,pr(an;y
lu_1199,professor,pr(essor
lu_1200,profile,pr(ile
lu_1201,profoundly,pr(.dly
lu_1202,profusion,pr(u.n
lu_1203,redact,r$act
lu_1204,rededicate,r$$icate
lu_1205,redeemable,r$eemable
lu_1206,redouble,r$|ble
lu_1207,renege,r5ege
lu_1208,renegotiate,r5egotiate
lu_1209,renewable,r5ewable
lu_1210,renumber,r5umb}
lu_1211,reread,r}1d
lu_1212,sedate,s$ate
lu_1213,Vandyke,",v&yke"
lu_1214,aerofoil,a}ofoil
lu_1215,antitype,antitype
lu_1216,biofeedback,biofe$back
lu_1217,centimeter,c5timet}
lu_1218,cofounder,cof.d}
lu_1219,disulphide,disulphide
lu_1220,filofax,filofax
lu_1221,gasometer,gasomet}
lu_1222,inessential,9ess5tial
lu_1223,infrared,9frar$
lu_1224,kilowatt,kilowatt
lu_1225,microfilm,microfilm
lu_1226,prounion,prounion
lu_1227,retroflex,retroflex
lu_1228,riboflavin,riboflav9
lu_1229,styrofoam,/yrofoam
lu_1230,subbasement,subbase;t
lu_1231,unamended,unam5d$
lu_1232,underived,und}iv$
lu_1233,anteater,ant1t}
lu_1234,contradistinction,3tradi/9c;n
lu_1235,disease,41se
lu_1236,extramental,extra;tal
lu_1237,heartsease,he>ts1se
lu_1238,incongruity,9c;gru;y
lu_1239,incongruous,9c;gru|s
lu_1240,indistinct,9di/9ct
lu_1241,indistinguishable,9di/+ui%able
lu_1242,motheaten,mo?1t5
lu_1243,northeast,nor?1/
lu_1244,redistribution,r$i/ribu;n
lu_1245,speakeasy,sp1k1sy
lu_1246,spreadeagle,spr1d1gle
lu_1247,uncongenial,unc;g5ial
lu_1248,undisturbed,undi/urb$
lu_1249,unfulfilled,un;lfill$
lu_1250,unlessoned,un.son$
lu_1251,disingenuous,49g5u|s
lu_1252,electroencephalogram,electro5cephalogram
lu_1253,acreage,acr1ge
lu_1254,agreeable,agre1ble
lu_1255,arboreal,>bor1l
lu_1256,baroness,b>o;s
lu_1257,boredom,bor$om
lu_1258,Brigham,",bri<am"
lu_1259,changeability,*ang1bil;y
lu_1260,chargeable,*>g1ble
lu_1261,Chatham,",*a?am"
lu_1262,delineate,del91te
lu_1263,dukedom,duk$om
lu_1264,effaceable,e6ac1ble
lu_1265,European,",europ1n"
lu_1266,finery,f9}y
lu_1267,foreseeably,=ese1bly
lu_1268,freedom,fre$om
lu_1269,genealogy,g51logy
lu_1270,governess,gov};s
lu_1271,Higham,",hi<am"
lu_1272,imagery,imag}y
lu_1273,laureate,laur1te
lu_1274,likeable,lik1ble
lu_1275,lineage,l91ge
lu_1276,lineal,l91l
lu_1277,lioness,lio;s
lu_1278,midwifery,midwif}y
lu_1279,mileage,mil1ge
lu_1280,noticeable,notic1ble
lu_1281,oleaginous,ol1g9|s
lu_1282,orangery,orang}y
lu_1283,peaceable,p1c1ble
lu_1284,permeable,p}m1ble
lu_1285,permeate,p}m1te
lu_1286,popedom,pop$om
lu_1287,rateable,rat1ble
lu_1288,savagery,savag}y
lu_1289,venereal,v5}1l
lu_1290,biscuity,biscuity
lu_1291,chieftainess,*iefta9ess
lu_1292,Chisholm,",*isholm"
lu_1293,citizeness,citiz5ess
lu_1294,fruity,fruity
lu_1295,orangeade,orangeade
lu_1296,rabbity,ra2ity
lu_1297,twofold,twofold
lu_1298,areaway,>1way
lu_1299,ebbing,e2+
lu_1300,eggplant,e7plant
lu_1301,ideas,id1s
lu_1302,seaman,s1man
lu_1303,seashore,s1%ore
lu_1304,stiffly,/i6ly
lu_1305,teatime,"t1""t"
lu_1306,aerial,a}ial
lu_1307,aerobic,a}obic
lu_1308,Baedeker,",ba$ek}"
lu_1309,Betws-y-Coed,",betws-;y-,co$"
lu_1310,Blaenau Ffestiniog,",bla5au ,ffe/9iog"
lu_1311,Caernarvon,",ca}n>von"
lu_1312,Daedalus,",da$alus"
lu_1313,diaeresis,dia}esis
lu_1314,encyclopaedia,5cyclopa$ia
lu_1315,faerie,fa}ie
lu_1316,Goering,",go}+"
lu_1317,Gruenfeld,",gru5feld"
lu_1318,Judaean,",juda1n"
lu_1319,Liliaceae,",liliac1e"
lu_1320,maenad,ma5ad
lu_1321,Oedipus,",o$ipus"
lu_1322,orthopaedic,or?opa$ic
lu_1323,paean,pa1n
lu_1324,phoenix,pho5ix
lu_1325,Schoenberg,",s*o5b}g"
lu_1326,subpoena,subpo5a
lu_1327,færie,fa~6erie
lu_1328,W2N 6CH,",w#b,n #f,,ch"
lu_1329,S. Da.,";,s4 ,da4"
lu_1330,Xft.,",xft4"
lu_1331,G.B.S.,",g4,b4,s4"
lu_1332,V & A,";,v `& ,a"
lu_1333,p. 15,;p4 #ae
lu_1334,c 1600,;c #afjj
lu_1335,3 N m,"#c ;,n ;m"
lu_1336,Macbeth V i 8 or V.i.8,",macbe? ;,v i #h or ,v4i4#h"
lu_1337,U. of K.,";,u4 ( ;,k4"
lu_1338,FORTRAN,",,=tran"
lu_1339,prof,pr(
lu_1340,ch. 7,ch4 #g
lu_1341,ch.7,*4#g
lu_1342,par3,p>#c
lu_1343,4-Hers,"#d-,h}s"
lu_1344,qwerty,qw}ty
lu_1345,radar,rad>
lu_1346,Ariz,",>iz"
lu_1347,CHUM Radio,",,*um ,radio"
lu_1348,START,",,/>t"
lu_1349,Sh$40,",%`s#dj"
lu_1350,1 in.,#a in4
lu_1351,9-in dia.,#i-9 dia4
lu_1352,Belg.,",belg4"
lu_1353,cont.,3t4
lu_1354,Dist.,",4t4"
lu_1355,nem. con.,nem4 con4
lu_1356,ASEAN,",,as1n"
lu_1357,SEATO,",,s1to"
lu_1358,7 ins,#g 9s
lu_1359,7ins,#g;ins
lu_1360,Inc.,",9c4"
lu_1361,Gov. Gen.,",gov4 ,g54"
lu_1362,Minn.,",m9n4"
lu_1363,MiniPC,",m9i,,pc"
lu_1364,INXS,",,9xs"
lu_1365,1-800-INFO,"#a-#hjj-,,9fo"
lu_1366,3 yrs 6 mths,#c ;yrs #f m?s
lu_1367,braille_it_better@learn.org,braille.-it.-bett}`ale>n4org
lu_1368,children-do-great@teach.net,*n-d-gr1t`at1*4net
lu_1369,world@large.com,_w`al>ge4com
lu_1370,www.rubberchicken.com/menus,www4ru2}*ick54com_/m5us
lu_1371,www.one.in.a.hundred.org,"www4""o494a4hundr$4org"
lu_1372,c:\\contractions\\wordsigns.doc,c3_*contrac;ns_*~wsigns4doc
lu_1373,c:\\InfoForSteven\\PhoneNumbers.xls,"c3_*,9fo,=,/ev5_*,ph""o,numb}s4xls"
lu_1374,c:\\ideas\\child-of-the-sea.doc,c3_*id1s_**ild-(-!-sea4doc
lu_1375,c:\\poem ideas\\my child's smile.doc,c3_*poem id1s_*my *'s smile4doc
lu_1376,coulda,cda
lu_1377,mebbe,me2e
lu_1378,pinny,p9ny
lu_1379,depity,dep;y
lu_1380,your,yr
lu_1381,wher,:}
lu_1382,somers,som}s
lu_1383,theirselves,_!selves
lu_1384,dint,d9t
lu_1385,bofe,b(e
lu_1386,'stracted,'/ract$
lu_1387,fayther,fay!r
lu_1388,distruction,4truc;n
lu_1389,musta,m/a
lu_1390,goodun,gdun
lu_1391,lyedee,ly$ee
lu_1392,com'ere,com'}e
lu_1393,say pl...,say pl444
lu_1394,Tell me wh-.,",tell me wh-4"
lu_1395,-tion,-tion
lu_1396,-ccio,-ccio
lu_1397,-ing,-9g
lu_1398,-ount,-|nt
lu_1399,-est,-e/
lu_1400,Bighorn,",bighorn"
lu_1401,chemotherapy,*emo!rapy
lu_1402,Hades,",hades"
lu_1403,Hermione,",h}mione"
lu_1404,Mortimer,",mortim}"
lu_1405,Newhaven,",newhav5"
lu_1406,Stalingrad,",/al9grad"
lu_1407,Vietnamese,",vietnamese"
lu_1408,Berea,",2rea"
lu_1409,Ione,",i""o"
lu_1410,Simone,",sim""o"
lu_1411,Townshend,",t{nsh5d"
lu_1412,Twillingate,",twill+ate"
lu_1413,thecond thentury,!cond !ntury
lu_1414,thenotaph,!notaph
lu_1415,thuthpenthe,?u?p5!
lu_1416,verY,"v},y"
lu_1417,you'll,y'll
lu_1418,go'n,go'n
lu_1419,child(ish),"*ild""<i%"">"
lu_1420,this'll,?'ll
lu_1421,out'a,|t'a
lu_1422,grandEST,"gr&,,e/"
lu_1423,with(er),")""<}"">"
lu_1424,THIRSTy,",,?ir/,'y"
lu_1425,ni(gh)t,"ni""<<"">t"
lu_1426,thou're,?|'re
lu_1427,wer(e),"w}""<e"">"
lu_1428,his'n,his'n
lu_1429,in't,9't
lu_1430,(be)long,"""<be"">l;g"
lu_1431,O'Connor,",o',connor"
lu_1432,CliffEdge,",cliff,$ge"
lu_1433,dragg(ing),"dragg""<+"">"
lu_1434,rubb'd,rubb'd
lu_1435,NorthEast,",nor?,ea/"
lu_1436,there(upon),"""!""<~u"">"
lu_1437,HANDsome,",,h&,'""s"
lu_1438,WordPerfect,",~w,p}fect"
lu_1439,count(less),"c.t""<less"">"
lu_1440,CarLess,",c>,less"
lu_1441,grey'ound,grey'|nd
lu_1442,J----y,";,j----;y"
lu_1443,n...ce,n444ce
lu_1444,fr...nd,fr444nd
lu_1445,w...ghed,w444<$
lu_1446,we-e-ellll,we-;e-ellll
lu_1447,a-a-ah—ch-o-o-oh,"a-a-ah,-ch-o-o-oh"
lu_1448,mmm-more,mmm-m
lu_1449,shhhh,%hhh
lu_1450,errrr,}rrr
lu_1451,pfft,p6t
lu_1452,doodle-e-do,doodle-;e-d
lu_1453,the-e-enk,!-;e-5k
lu_1454,so-o-o-o,s-o-o-o
lu_1455,aaarrrggghh,aa>rr7<h
lu_1456,br-r-r,br-;r-;r
lu_1457,cooooountry,coooo.try
lu_1458,ggggood,g7good
lu_1459,loooong,looo;g
lu_1460,sisterrr,si/}rr
lu_1461,d-d-day,";d-;d-""d"
lu_1462,ch-child,ch-*
